Rating,Location,Title,Reviews
45,Tajmahal,Never to be forgotten experience.,"I travelled from Udaipur to Agra just to visit the Taj Mahal and it was worth the effort. I stayed in an hotel called Sai Palace in the old town. within walking distance and bought my entry ticket the day before. I was able to gain entry very early before the tour groups descended from their many busses. I could freely wander through the garden taking in many of the aspects if this magnificent structure. As you approach more and more detail is visible. To sit on a bench and drink in this enormous beautiful building, was reward on its own. I found the whole experience uplifting and spiritual. After I had been there about 3 hours the masses arrived and visibility inside the Taj was hampered.  Next time I would go inside sooner and finish enjoying the gardens afterwards.  The street leading away from the Taj had many little curio shops and the surrounding area was full of the most incredible aromas of freshly cooking, potato cakes, samoosa and other tempting hot dishes, (snacks) fascinating trip. Unfortunately I have still not mastered cooking the Indian omelette.! PS although there were signs everywhere inside regarding No photographs, everyone was merrily snapping away. Remember. You cannot take in your own water. It is provided free with your ticket. Show respect with your clothing. Sunhat is good idea. ENJOY"
45,Tajmahal,Majestic beauty,"Our visit to the Taj Mahal was lovely. It is super hot in the area so I recommend that one visits the Taj as early in the morning as possible. Lines were long,but it was worth it to see this gorgeous site. We stayed at the Marriott, arriving the day before our planned visit, and it was absolutely lush, one of my favorite Marriotts.  Wear comfortable shoes and be prepared to put booties over your footwear,as one cannot go into the Taj without them. Do not bring a backpack or any food or water into the area; it will be confiscated! There are stalls outside where postcards and other souvenirs may be purchased. We found them to be less expensive than in the hotel gift shops."
45,Tajmahal,Another dream come true,"We had an amazing trip to Taj Mahal we were supposed to go at 4pm the day we arrived so it was postponed until 6 am the next morning because of heavy rain. It was perfect timing to see the Taj Mahal at dawn, the crowds were more manageable and with a great guide we spent a very special time hearing the love story and romance behind the Taj Mahal. I was very disappointed though to see rubbish lying here and there around the grounds....there should be enough staff around to keep the grounds as clean as they deserve to be. In the first place I am surprised that people think it's ok to throw their rubbish on the ground as there are plenty of bins. Take your rubbish with you and find a bin"
45,Tajmahal,it is all that they say,"Amazing in all aspects. The history, the architecture, the culture, the environment. The science that went into this work of art is incredible."
45,Tajmahal,Amazed !!!,"So many times i visit ""Taj Mahal"". every time i get new feel. the one only palace of love. The great Taj Mahal.  No Word !!!"
45,Tajmahal,Ultimate Historical Weekend Spent By Availing Naswiz Holidays Package,"My dad was planning for a visit to Taj Mahal from quite sometime and finally we made it on June 17th. We wanted to explore Taj Mahal, Fatehpur Sikri and other famous things in this city hence we booked our stay in Agra for one night and two days with Naswiz Holidays. Indeed Taj Mahal is a marvelous wonder of historical architecture which looks new each day. Everything about this monument is mesmerizing and appealing. We took a lot of photographs that day and thoroughly enjoyed our short trip. Also, the accommodation provided byNaswiz Holidays was extremely luxurious and we loved the food that came as complementary. Naswiz's services not just simplified our travel stay but also made our travel experience a lot fun."
45,Tajmahal,Views of the Taj,"The best place to view the Taj from was from the Agra Fort, as you get a glorious view of the Yamana River and the Taj."
40,Tajmahal,Well worth a visit,"We visited during a trip to Delhi and were about 2 1/2 hours on a bus, straight down the highway to Agra, very easy journey and great to see some of the sights in between.  When you come off the highway you are right into the thick of it and the hussle and bussle of a local market town. We had to stop regularly for herds of Bulls.  The Taj is an impressive sight even from afar. We nipped into the Oberoi as a base, not cheap but if you can stretch to it then use it as they gave us a run down in the buggies to the site. Walking down to the entrance is fine, loads of people trying to sell Lots of things but very polite and not pushy.  Small queue to get in and small fee, one rate for locals and one for tourists which is fair enough. It is very busy and we went there on a quiet day!!  Inside is amazing, long walk down through other parts is ten site to the Taj itself and it is a truly Memorable experience. A kings tribute to the love for his wife certainly makes an impression. Unfortunately a couple of the minarets are under scaffolding just now, so not quite the clean view I would have wanted.  Getting up close, you out on show covers or take shoes off- would suggest the former. The white marble is beautiful and make sure you just lay a hand on it! Inside the Taj itself is manic. It's only a small door in and out and there are thousands of people so keep your hands on everything and head down as we don't do queueing here! You come out on the riverside and it is somehow very serene away from the hubbub.  The guys with cameras will follow you everywhere and I figured if they were looking for 50 rupees per photo then why not buy a few. My advice is grab your many early, tell him what you want and then meet him immune way out for payment and collection. He will give you hard prints.  Loved it, well worth a trip, the history, the culture, the story, the people- a pleasure!"
40,Tajmahal,Just trying,"Checking this out in order to see how it works from within. Need to type more it seems, so here I am typing again to complete the character requirement"
40,Tajmahal,Simply beautiful,"In India where everything else seems chaotic this is an oasis of calm and beauty. Breathtaking and I'd love to go back. I know it all sounds cliche, and it probably is but it's one of the most stunning pieces of architecture I've ever seen."
40,Tajmahal,Stunning as expected! Read for tips.,"In my experience the best time to visit the taj is midweek in the morning, which is when the crowds are less disruptive and more bearable. The western gate is normally far more busy than the eastern gate, thus I'd highly recommend using the latter.  Driving polluting vehicles close to the taj is prohibited, so for the eastern gate at least we had to stop a distance away and cover the rest of the journey to the taj on an electric bus (a very small fee charged for the bus). I imagine a similar arrangement is in place for entry through the western gate.  When buying tickets you'll be given two shoe covers that you will need to wear on top of your shoes/footwear to be allowed onto the main marble square that the taj sits on. I'd HIGHLY RECOMMEND hiring a (government certified) guide for your visit as the information given allows greater appreciation of the monument.  Hiring a photographer is also not a bad idea if the photography is sufficiently important to you. Many photographers are available on the site itself, and an advantage of having one is they'll be able to clear the crowd for you at popular photography spots.  I'd recommend wearing light clothing as it is quite humid on site due to the Yamuna river being next to the taj. Carry as few items as possible (i.e. water and photography equipment/phone) to the site as there are many restrictions for security reasons."
40,Tajmahal,Ultimate building of eternal love,"This building is an architectural wonder based on pure symmetry. It is the same from all four facades. There are many optical illusions in its stome decorations. According to the guide, Shah Jahan was planning to build a copy of it from black marble for himself on the opposite side of the Yamuna river. This is a masterpiece of srone carving, decoration and engineering ahead of its time. Foreigners pay 1000 INR for the entrance but also given a bottle of water and a pair of shoe covers for free just next to the box office."
40,Tajmahal,Must-see place!!,This is a must-see place!! More beautiful than pictures. I would recommend going in the morning or in the evening. It is too hot during that day and the sunrise or sunset on the structures are absolutely breathtaking.
40,Tajmahal,Locals(Indians) don't appreciate its beauty,"Went with a group of locals on a tour.  When you arrive you need to walk about 500 meters or so to get to the ticket booth. There are autos (tuk tuk) offering rides. The walk is not too bad. But if you feel you wanna take one it I'll only take you so far. There is construction happening (July 2016) so you would still walk a bit.  When you enter, if you are a foreigner you'll be charged R1000. Which includes socks for your shoes for protection of the monument. Do not buy them from the kids pedaling them outside.  Your bags gets checked before you can enter. Like many places in India there is a male and female line. Make sure not to bring anything besides camera, wallet , and water. Candy, food and things they don't recognize will be thrown it kept. Chargers or batteries along with cables will be taken away. They are very strict about this and can get loud thinking you would suddenly understand if they do.  Once you enter you have to go through the courtyard. You can see it in the background. The monuments is under restoration so some parts are covered but you can still walk through and enjoy it's beauty. The locals in my group kept saying how it was dirty, that I should go during full moon, and were apologizing for the state it was in. In my eyes it's one of the most beautiful and romantic buildings ever built. But they feel it's not up to their standards. And some men were saying how it wasn't romantic at all.  The monument itself is an off white because it hasn't been kept in a while, though it's something they are working on. No pictures allowed inside the actual building. Toilets are free for foreigners so make sure you don't pay to use them. Over all it can take 2-3 hours to walk through everything."
40,Tajmahal,The Best,"I have visited so many places but when I saw Tajmahal, it's really such a most beautiful ever I have seen in my life. Tremendous, outstanding, marvellous...love it from the heart"
40,Tajmahal,Beutiful,"By looking at Taj mahal I can just think of one word and that is BEAUTIFUL.We also saw Tajmahal during the night from a distance, it looked even more beautiful. During full moon it looks even more beautiful."
40,Tajmahal,Wow,Visited thrice over past decade and a little more. All the three visits were memorable. It is a world famous monument ...not sure what to add about the place that's not covered as yet :)  Approach roads are a mess and also the locals haggling with tourists that are just irritating.  With each subsequent visit the entry and exit arrangements seemed to be a tad better.. that's all
40,Tajmahal,Nothing compare to.... Taj Mahal,It's a superb place to visit very suggestive and magnificent. Beautiful garden. Visiting it at the sunrise is amazing. No many people around and it is possible to enjoy it fully. Pity that the museum does not open until 9.00
40,Tajmahal,Stunning. Beautiful. Magical.,We visited the Taj Mahal last week and although we have chosen the hottest time of the year (humidity wise) it left us breathless. It's a must do when Visiting India.  Note to travellers and tourists... The 'Government Tourist' staff that provide you with your shoe socks and free bottle of water after the ticket office then give you a very hard sell about how long the que is and would be better to pay the £950 rupees to a tour guide to fast tract you meaning you a miss the que - you DO NOT NEED TO - the tourists and foreigners have a separate que so we were inside within 5 minutes so just make your way to the que and the staff show you where to join the tourist que.
40,Tajmahal,Wah Taj!!,"The first glance of Taj in the winter morning is amazing. The whole monument will look very smaller while you are entering inside the Taj premises but as you progresses towards the main structure, it will look so huge and beautiful that will make you say ""Wah Taj"".  Absolute beauty in white marble with verses in farsi inscribed on the Taj.  Just BEAUTIFUL"
40,Tajmahal,Beautiful,"You have to pay for an expensive ticket so you don't waste time standing in the line. Once you get in, there will be many people offering to take pictures of you for a fee. It's up to you if you want it or not. When you get past all of that and see the Taj Mahal you will be lost for words. It's absolutely beautiful and the detail on the building is fantastic."
40,Tajmahal,Taj Mahal made me speechless,"Never thought that it would be so beautiful, was comparing this place with some other wonders of the world but the fact is there is no comparison of this place with any other monument of the world as far has beauty concern, simply making you speechless."
40,Tajmahal,Breathtaking,It's worth the hype. The architecture truly is spectacular. Take a moment to go upclose and look at the detail in the marble. My recommendations:  1. Go early. Like really early. Less crowds.  2. Some young men will approach you to help you take pictures. I almost never indulge this but I did and it was worth it because I really did have great pictures- he knew the best angles and places. Tip him well. You're on vacation.
40,Tajmahal,July Visit,Hot yes but a lot less tourists. Most of the experienced local photograpers take excellent shots and are not that expensive and they don't mind taking USD. Do not go with backpacks as they will not be allowed in. Lockers are provided at your own risk. No need to take off shoes. Protective coverings available
40,Tajmahal,Great day at Taj Mahal,Try to get an early start if you are buying tickets at the entrance. Best to buy the tickets along with any sort of tour package. And makesure you have a guide that speaks English as well as Hindi. We purchased the day trip tour package from New Delhi to Agra thru Zip Trips. Great company. Great service. The driver picked us up at the hotel and had made all the arrangements at the Taj Mahal with the guide. We got the tickets with the package which was lot easier instead of waiting in long lines out there. We truly had a wonderful visit.
40,Tajmahal,Really Amazing to View at Sunset,"This is one of the greatest architecture and the view of it is fantastic at any time, but if you want to feel the difference, watch it at sunset. It's really gonna blow your mind, its beauty and charm is amazing."
40,Tajmahal,Mumtaj - What is more beautiful a Mortal or a Monument,"The best time to watch Taj and avoid the huge local crowd is early morning or at Dusk. Avoid weekends and Friday(official close). If it is your first visit to the monument then make sure you arrive in Agra on the previous night and visit Taj early morning. Visit the UP Tourism website for the timings and other finer details. We drove early morning from Delhi to Agra using Taj Expressway; weather was pleasant throughout the day and it rained heavily on our return same day. Did not get stuck anywhere due to rain though.  There is a R&R somewhere halfway through the trip.  Exiting Highway: We exited highway using NH93 which is very crowded and not recommended. Coming back we used AH1 which is less crowded and could stop by a restaurant known as Raj Ki Rasoi. One of cleanest place for food and sweets.  Entry to Taj: Use East gate for the entrance to Taj as it is less crowded and suitable for overseas tourists. Entry to West gate is very crowded and it is being renovated.  Use a Guide: Paid a meagre sum of INR300 and hired a local guide who was very good and professional in explaining the finer details in building the Taj. Since we were accompanied by one of overseas colleague, we were spared from standing in long queues. Avoid handbags to save yourself from security checks.  Overall, what a wonderful experience it was!!"
40,Tajmahal,Taj Mahal,"Wanted to see this place for as long as I can remember and was worried that because of the anticipation I would be disappointed, I couldn't have been more wrong... The most magnificent sight ever!!! I defy anyone to be unaffected by the monument, I was so very emotional and didn't want to break the spell by leaving. I will definately return as often as I am able."
40,Tajmahal,Be prepared to be awed,"While I've read a lot about Taj Mahal, nothing compares the feeling of seeing it in real life. We went there at sunrise, sunset and poornima (full moon) night viewing. The Taj Mahal even looks heavenly at full moon but alas it is difficult to take any decent photo as it quite dark and the moon is on the opposite side. It is highly suggested to get a tour guide to know more about the story of Taj Mahal. Sunrise viewing is also the best and while we went there just in time for the monsoons, we are so lucky that the rains stopped on the very day that we visited the Taj Mahal."
40,Tajmahal,An Amazing Tomb,"We enter from the East Gate, the security is tight, only hand carry small bag are allow to enter. Looking through the main entrance building, the Taj Mahal slowly grow in size. Once through the door, the whole Taj Mahal attracting multiple ""wow"" from us. Is so beautiful, so grand, look so pure in all white, pearl white. Slowly we walk toward it and our heart beep getting louder. Along the way we were told of it great story, the meaning of the 22 small dome on the entrance building, the history of the king building this great Taj Mahal and the other related love/sad tales. The main building marble stone wall was crafted with gem stone to form all the beautiful flowers and patterns. Some of the marble wall were hacked to form uniform and symmetric ventilation hole. Natural wind blow through the inner part of the building, feel cooling even we visited in a hot, humid day.  Overall is a amazing experience and should be in the must go list of all India visitor."
40,Tajmahal,the gradnour of the place is not to miss,"this place is wonderful. I dont understand why people dont like it. i really enjoyed my time. It was truly stunning, It is a bit smaller in real life than pics portray it to be. It was easy to get to, and not expensive to get in. I really advice going in April or in May, so the weather is not as hot. I went at 8 am in AM it was still 100 outside! also, it is super busy and crowded with locals and tourist, the earliest you go the better pics to get. allow at least 1hr, make sure to visit the red fort as well, no one ever goes there too. highly recommended!"
40,Tajmahal,"Just a word "" Wah Taj""","This is all I can say when ever I visit Taj Mahal ""Wah Taj"". Being an localities we have to visit Taj often either with family relatives or freinds, everytime I visited taj the beloved shahjahan inside my heart wakes up and motivates me to do something for my wife. Its a true monument of Love."
40,Tajmahal,It's the Taj Mahal,"Info: cigarettes, food and such are not allowed and you have to throw it away. Phones and guidebooks are allowed. Guides of various quality outside and some photography ""helpers"" inside who can be very persistent... 1000 INR for foreigners for entrance. Spend at least three hours or more. Go at sunrise."
40,Tajmahal,Taj mahal,White wonder all the freshness peace adorable n to be remembered whole life with lots of satisfaction having visited a great monument
40,Tajmahal,Lovely place,This was our third trip to Taj but as always it was fascinating and enjoyable. An early morning visit helped avoiding large ques and crowd. Had to use the washroom and found it to be very neat and clean.
40,Tajmahal,One of the finest and memorable symbol of love.,A stunning architecture and workmanship of flowless marble is one of the seven wonders in the world.
40,Tajmahal,Awe Struck,Amazing. So beautiful. So happy I made it. I see why it is a wonder of the world. It was HOT but worth it. The marble is beautiful.
40,Tajmahal,once in a life time one has to see,"amazing especially early in the morning. It is good to come night before and stay in a nearby hotel , to have a short walk just when the sun rises to Taj Mahal."
40,Tajmahal,Simply Stunning!!!,"No words to describe! What a creation - breathtaking! not easy to get the perfect shot without anyone on it, but its a memorable feeling just being there."
40,Tajmahal,Taj from river side too,Definitely have to go inside but it is worth vising from river side ( mehtab Bagh) too. It is better to go on sun rise in side.
40,Tajmahal,More stunning in person,This is the only reason to go to Agra. Go early at sunrise before the tourists. It will still be busy but probably 1/3 as busy as later in the day
40,Tajmahal,Best Wonder in the World!,This place is an oasis of calm and beauty. The architecture and magnificence of the building is jaw dropping. If you do one thing in life then visit the Taj Mahal.
40,Tajmahal,Awesome Taj,Dream came true for me when i visited Tajmahal with my wife. Our guide Mr. Varun Gupta made it all easy for us. He is simply an awesome guide and photographer. I would like to recommend him for others.
40,Tajmahal,Fabulous!!!!,"It was on my bucket list. We went to get the ticket around 5 am, and got into Taj Mahal on 5:30 am, it was quite, peace and wonderful. And we were lucky enough have a door guy called Dom who works there over 40 years took us around and took photos for us too. We paid him some tip in the end as well because he was really friendly and nice."
40,Tajmahal,Wah Taj....,I am completely in love with this monument and used to visit this place with my wife every year and become young again at heart. This place gives divine purity to the heart and provides inner peace to me. I visited Taj last weekend and was left astonished by its beauty as always... Great Place to be for a family hangout or picnic...
40,Tajmahal,Lives up to the hype!,Beautiful and majestic. The artistic attention to detail is unbelievable! Summer was probably not the best time to visit though. The crowds were enormous and the staff did a good job managing the crowd. Make sure to get a guide and ask them to show the stones and marble with their flashlight..it's really beautiful.
40,Tajmahal,A bucket list must!,"The photos will not prepare you for your Taj Mahal experience. This is truly the jewel of India. If visiting the Taj, we encourage you to read as much as you can before visiting. Also, hiring a tour guide will be the best investment you can make. We learned so much from our guide."
50,Tajmahal,Awesomeee,Its just wow. Visited with my wife and just fell in love with her again. Each and every part of the Taj is just awesome and speaks what love is.
50,Tajmahal,Stunning,We queued up at 5am for the gates opening at 5.30am. We got some lovely photos with hardly any tourists in the back ground. Within the space of an hour the place was very busy. Definitely worth a visit!
50,Tajmahal,Simply awesome,"It was my fourth visit, with office friends this time. Seems like it becomes more beautiful every time I visit the Taj and the camera never stops. This is indeed a wonder and a must visit"
50,Tajmahal,Cannot by bound with words,A true wonder. The first visit to this place will surely leave you speechless. Please keep enough time in hand & do not rush this one through.
50,Tajmahal,Terrific Taj..!!,"Taj Mahal is definitely the most beautiful and iconic structure that one will observe in India. It is truly the highlight of Agra...!! The monument is breathtaking beautiful and one of the most famous architectural constructions still standing which has originated during the reign of the Mughal empire. Made completely out of white marble the Taj Mahal is a completely unique structure, no wonder it is considered amongst the Wonders of the World. Being in the center of Agra, commuting to the Taj is very easy, and finding ones way could not have been easier with signage boards throughout the city guiding the way. Once your at the Taj Mahal ticket counter, you would also find Electric Shuttles which would take you to the Taj Mahal at a nominal charge.  *Note: 1)The Taj Mahal is closed on Fridays. 2)Visitors must carry their ID proofs/ Passports 3)Don't forget to collect your ""Shoe Covers"" from the Taj Mahal ticket counter.  Definitely a place you ought to see during your lifetime. It is certainly classifies as the quintessence of Beauty..!!"
50,Tajmahal,Facinating - need a guide,"It was really really hot to visit in July, but the lack of other tourists made it totally worth it. Had an amazing guide which I would highly recommend since he explained the intricate designs, little-known-facts and pulled the story together so we really knew what we were looking at."
50,Tajmahal,Amazing wonder,"This place is very romantic, was a dream to visit the taj, its lovely, fantastic place but the only drawback is I feel/think the restoration process is not done appropriately"
50,Tajmahal,Breathtaking!,"No trip to India is complete without a visit to the grand Taj Mahal! A must see for all ages. It takes about 4-6 hours from Delhi (depending on driver/traffic) I used Agra Day Tours and hired a private driver ( can't remember price but well worth it for comfort and security) also, hire a guide! You will enjoy the tour and learn more this way!"
50,Tajmahal,Wonder of the World,"Beautiful ! Be sure to hire a guide to really live the experience, there are certain things only they will be able to show you !"
50,Tajmahal,Architectural Marvel,"The Taj Mahal is a fantastic piece of architecture. The architecture work of this building is simply awesome. This monument in white marble is a testimony to the artistic skills of ancient India. We visited the monument on a bright sunny day. I was amazed to see the huge crowd in early hours of the day. Foot wear is not allowed inside the Taj complex. But if you cover your shoes with a shoe cover, you do not have to remove them to enter the complex. So, do remember to buy a shoe cover."
50,Tajmahal,Lives up to the hype!,"The Taj Mahal undoubtedly lives up to the hype. It's so beautiful, especially if you go early in the morning! Anytime before 7am is so much quieter and easier for pictures.  I would carve out 2 hours or so to explore, have your little photo shoot and maybe check out the museum. The grounds are well kept, and the building itself is as cool as you'd think it would be.  Be careful of scammers and be sure to get your ticket at the ticket centre 2km up from the south gate before you go in! Be warned - the Indian local price is 20RP while tourists are 1000RP."
50,Tajmahal,Amazing!,"Not too much to say really, it's amazing.  Foreigner tickets cost R1000 which includes a small bottle of water and shoe covers. I went in the supposed low season during the summer but on a Saturday and the crowds were big but not a major hassle."
50,Tajmahal,Mesmerizing even after 10+ visits,Easily among the best tourist attractions in the World. I visited 10+ times during my 3 year posting at Agra and always enjoyed taking snaps from different angles and admiring the beauty.
50,Tajmahal,Taj Mahal Symbol of Love,Always my dream to visit this beautiful monument of love. So the ticket for foreigners will be INR 1500 per pax. You will be given bottle of water and show water. The monuments close to public at 5pm every day and Fri it's closed.
50,Tajmahal,The highlight of any visit to India!,"If you're looking for a guide, keep an eye out for Fasi Uddin. He's excellent. His English is not top notch, but he makes up for it in lots of other ways. He's the oldest guide working the Taj (in his mid-70s), was very knowledgeable (he's been working there since his teens) and reasonably priced. He added to our enjoyment of this fascinating and beautiful place."
50,Tajmahal,Symbol Of Love...!!! MUST VISIT,"This is a place which is worth watching in Agra special during Full Moon night. This monument had made India proud every time. Go with you love, family, friends.  Suggestion & Request- Do not litter"
50,Tajmahal,2 hour tour that i will never forget,"i did a tour with a guy called Shubham Pandey he charges 300 local indian currency. he was great tour guide, he has great knowledge of the place. if you have a camera he will take great pictures for you.. make sure to take your sun glasses, he will take this really cool picture to use on your social media website.. his number +91-9756205208"
50,Tajmahal,You have to go see it once,"What is a trip to India without seeing the Taj Mahal. Its a lot smaller than one would think beautiful up close all the work on the marble, expect your tour guide to want to take you to some overpriced shop that sells marble and things you can find elsewhere for a lot less.  I went late afternoon - no lines and missed the midday heat. Got to see things at sunset and it was a perfect time."
50,Tajmahal,Breath taking!,"The Taj Mahal is just stunning! The work and detail of the building is extremely impressive. I feel so grateful to say I have seen such a magnificent and historical structure.  When we visited it was a beautiful sunny day and was quite busy but the crowd just added to the atmosphere! There was plenty of time for us to walk around the grounds and into the Taj itself. There are plenty of wonderful picture opportunities but as lovey as the pictures are, it doesn’t justify how beautiful it is in real life.  You cannot go to India and miss seeing the Taj. The history and architecture is just incredible. I have travelled to many places around the world and this is one of the top attractions I recommended visiting."
50,Tajmahal,Fabulous,No words to say. Few feelings can't be put in words. Feast for my eyes.Visual wonder ! Visited on 18/07/2016.
50,Tajmahal,so not a cliche,what a wonderful wonderful site - seen in so many photos but completely different in 3 dimensions and within loads of chattering Indian tourists posing away..........wear mirrored sunglasses - it makes for a great selfie!
